
"zibal.ir Online Payment","پرداخت آنلاین با زیبال"
"zibal.ir Payment Gateway","درگاه پرداخت زیبال"
"This extension is from <a href=""https://zibal.ir/"" target=""_blank"">zibal.ir</a>","این افزونه توسط تیم فنی <a href=""https://zibal.ir/"" target=""_blank"">zibal.ir</a> توسعه داده شده است.‏"
"Enabled","فعال است"
"Title","عنوان"
"API Key","کد API"
"Zibal direct?","زیبال دایرکت (درگاه مستقیم)؟"
"Order Status(before send request)","وضعيت سفارش (قبل از پرداخت)"
"Order Status(after send request)","وضعيت سفارش (بعد از پرداخت)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"You will be redirected to zibal.ir website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به وب سایت zibal.ir ارجاع داده خواهید شد."
"Your order has been received.","سفارش شما دریافت شد."
"Yours order track number is %s","شماره پیگیری سفارش شما عبارت است از %s"
"Click <a href=""%s"">here to print</a> a copy of your order confirmation.","برای چاپ تائیدیه سفارش خود <a href=""%s"">اینجا</a> کلیک کنید."
"zibal.ir Transaction ID: %s","شماره تراکنش: %s"
"Please wait! You will be redirected to zibal.ir","لطفا منتظر بمانید! برای پرداخت به وب سایت zibal.ir ارجاع داده خواهید شد"
